Training started at: 2026-03-24 16:30:54
Total iterations: 80000
====================================================================================================
4000/80000 (5.0%), elapsed_time=01:00:07, remaining_time=19:01:56, total_estimated=20:02:03, reward=0.686, eval_reward=0.817, qf_loss=0.130, step=52013
4100/80000 (5.1%), elapsed_time=01:02:07, remaining_time=19:09:38, total_estimated=20:11:45, reward=0.711, eval_reward=0.780, qf_loss=0.195, step=53313
4200/80000 (5.3%), elapsed_time=01:03:22, remaining_time=19:03:24, total_estimated=20:06:46, reward=0.695, eval_reward=0.780, qf_loss=0.151, step=54613
4300/80000 (5.4%), elapsed_time=01:04:37, remaining_time=18:57:20, total_estimated=20:01:57, reward=0.702, eval_reward=0.780, qf_loss=0.203, step=55913
4400/80000 (5.5%), elapsed_time=01:05:51, remaining_time=18:51:23, total_estimated=19:57:15, reward=0.694, eval_reward=0.780, qf_loss=0.134, step=57213
4500/80000 (5.6%), elapsed_time=01:07:50, remaining_time=18:58:06, total_estimated=20:05:57, reward=0.635, eval_reward=0.750, qf_loss=0.064, step=58513
4600/80000 (5.8%), elapsed_time=01:09:06, remaining_time=18:52:29, total_estimated=20:01:35, reward=0.674, eval_reward=0.750, qf_loss=0.095, step=59813
4700/80000 (5.9%), elapsed_time=01:10:21, remaining_time=18:46:52, total_estimated=19:57:13, reward=0.691, eval_reward=0.750, qf_loss=0.105, step=61113
4800/80000 (6.0%), elapsed_time=01:11:35, remaining_time=18:41:21, total_estimated=19:52:56, reward=0.693, eval_reward=0.750, qf_loss=0.157, step=62413
4900/80000 (6.1%), elapsed_time=01:13:34, remaining_time=18:47:31, total_estimated=20:01:06, reward=0.692, eval_reward=0.817, qf_loss=0.142, step=63713
5000/80000 (6.3%), elapsed_time=01:14:49, remaining_time=18:42:14, total_estimated=19:57:03, reward=0.697, eval_reward=0.817, qf_loss=0.091, step=65013
5100/80000 (6.4%), elapsed_time=01:16:04, remaining_time=18:37:04, total_estimated=19:53:09, reward=0.690, eval_reward=0.817, qf_loss=0.124, step=66313
5200/80000 (6.5%), elapsed_time=01:17:19, remaining_time=18:31:57, total_estimated=19:49:16, reward=0.690, eval_reward=0.817, qf_loss=0.184, step=67613
5300/80000 (6.6%), elapsed_time=01:19:19, remaining_time=18:37:41, total_estimated=19:57:00, reward=0.738, eval_reward=0.810, qf_loss=0.059, step=68913
5400/80000 (6.8%), elapsed_time=01:20:34, remaining_time=18:32:53, total_estimated=19:53:27, reward=0.722, eval_reward=0.810, qf_loss=0.125, step=70213
5500/80000 (6.9%), elapsed_time=01:21:48, remaining_time=18:27:59, total_estimated=19:49:48, reward=0.715, eval_reward=0.810, qf_loss=0.054, step=71513
5600/80000 (7.0%), elapsed_time=01:23:03, remaining_time=18:23:20, total_estimated=19:46:24, reward=0.717, eval_reward=0.810, qf_loss=0.060, step=72813
5700/80000 (7.1%), elapsed_time=01:25:30, remaining_time=18:34:22, total_estimated=19:59:53, reward=0.715, eval_reward=0.840, qf_loss=0.120, step=74113
5800/80000 (7.3%), elapsed_time=01:26:45, remaining_time=18:29:45, total_estimated=19:56:31, reward=0.726, eval_reward=0.840, qf_loss=0.162, step=75413
5900/80000 (7.4%), elapsed_time=01:28:00, remaining_time=18:25:06, total_estimated=19:53:06, reward=0.737, eval_reward=0.840, qf_loss=0.064, step=76713
6000/80000 (7.5%), elapsed_time=01:29:15, remaining_time=18:20:37, total_estimated=19:49:53, reward=0.743, eval_reward=0.840, qf_loss=0.244, step=78013
6100/80000 (7.6%), elapsed_time=01:31:15, remaining_time=18:25:23, total_estimated=19:56:38, reward=0.706, eval_reward=0.817, qf_loss=0.108, step=79313
6200/80000 (7.8%), elapsed_time=01:32:30, remaining_time=18:20:53, total_estimated=19:53:23, reward=0.714, eval_reward=0.817, qf_loss=0.123, step=80613
6300/80000 (7.9%), elapsed_time=01:33:45, remaining_time=18:16:37, total_estimated=19:50:23, reward=0.715, eval_reward=0.817, qf_loss=0.085, step=81913
6400/80000 (8.0%), elapsed_time=01:35:00, remaining_time=18:12:24, total_estimated=19:47:25, reward=0.716, eval_reward=0.817, qf_loss=0.138, step=83213
6500/80000 (8.1%), elapsed_time=01:37:27, remaining_time=18:21:47, total_estimated=19:59:14, reward=0.711, eval_reward=0.843, qf_loss=0.092, step=84513
6600/80000 (8.3%), elapsed_time=01:38:43, remaining_time=18:17:42, total_estimated=19:56:26, reward=0.713, eval_reward=0.843, qf_loss=0.071, step=85813
