CUDA_VISIBLE_DEVICES=1 nohup python train_q_rag_logt.py    
envs=hotpotqa    \
algo=pqn_e5_hotpotqa    \
envs.data_path="/home/ai-faculty/workspace/datasets/hotpotqa"    \
steps_count=10000    \
batch_size=12    \
accumulate_grads=8    \
eval_interval=100    \
envs_parallel=1    \
max_action_length=220   > train.log 2>&1 &

Training started at: 2026-03-26 17:36:17
Total iterations: 80000
====================================================================================================
| it/Total Steps | 完成百分比 | Progress | Time | Reward | Eval Reward | QF loss| Step |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 37300/80000 | 46.6% | 10:40:33 | 0.828 | 0.893 | 0.046 | 484913 |
| 37400/80000 | 46.8% | 10:42:08 | 0.823 | 0.893 | 0.090 | 486213 |
| 37500/80000 | 46.9% | 10:43:44 | 0.822 | 0.893 | 0.145 | 487513 |
| 37600/80000 | 47.0% | 10:45:21 | 0.825 | 0.893 | 0.050 | 488813 |
| 37700/80000 | 47.1% | 10:47:51 | 0.845 | 0.890 | 0.142 | 490113 |
| 37800/80000 | 47.3% | 10:49:27 | 0.852 | 0.890 | 0.056 | 491413 |
| 37900/80000 | 47.4% | 10:51:03 | 0.838 | 0.890 | 0.018 | 492713 |
| 38000/80000 | 47.5% | 10:52:39 | 0.829 | 0.890 | 0.069 | 494013 |
| 38100/80000 | 47.6% | 10:54:15 | 0.836 | 0.890 | 0.029 | 495313 |
| 38200/80000 | 47.8% | 10:55:50 | 0.830 | 0.890 | 0.099 | 496613 |
| 38300/80000 | 47.9% | 10:57:26 | 0.827 | 0.890 | 0.096 | 497913 |
| 38400/80000 | 48.0% | 10:59:02 | 0.828 | 0.890 | 0.031 | 499213 |
| 38500/80000 | 48.1% | 11:01:30 | 0.829 | 0.880 | 0.047 | 500513 |
| 38600/80000 | 48.3% | 11:03:05 | 0.844 | 0.880 | 0.080 | 501813 |
| 38700/80000 | 48.4% | 11:04:41 | 0.835 | 0.880 | 0.088 | 503113 |
| 38800/80000 | 48.5% | 11:06:18 | 0.834 | 0.880 | 0.124 | 504413 |
| 38900/80000 | 48.6% | 11:07:54 | 0.831 | 0.880 | 0.080 | 505713 |
| 39000/80000 | 48.8% | 11:09:30 | 0.831 | 0.880 | 0.030 | 507013 |
| 39100/80000 | 48.9% | 11:11:06 | 0.833 | 0.880 | 0.036 | 508313 |
| 39200/80000 | 49.0% | 11:12:41 | 0.831 | 0.880 | 0.063 | 509613 |
| 39300/80000 | 49.1% | 11:15:09 | 0.823 | 0.880 | 0.036 | 510913 |
| 39400/80000 | 49.3% | 11:16:45 | 0.834 | 0.880 | 0.036 | 512213 |
| 39500/80000 | 49.4% | 11:18:20 | 0.830 | 0.880 | 0.074 | 513513 |
| 39600/80000 | 49.5% | 11:19:56 | 0.829 | 0.880 | 0.057 | 514813 |
| 39700/80000 | 49.6% | 11:21:31 | 0.830 | 0.880 | 0.067 | 516113 |
| 39800/80000 | 49.8% | 11:23:06 | 0.826 | 0.880 | 0.133 | 517413 |
| 39900/80000 | 49.9% | 11:24:42 | 0.832 | 0.880 | 0.060 | 518713 |
| 40000/80000 | 50.0% | 11:26:17 | 0.828 | 0.880 | 0.138 | 520013 |
| 40100/80000 | 50.1% | 11:28:45 | 0.831 | 0.873 | 0.026 | 521313 |
| 40200/80000 | 50.3% | 11:30:20 | 0.838 | 0.873 | 0.045 | 522613 |
| 40300/80000 | 50.4% | 11:31:56 | 0.837 | 0.873 | 0.075 | 523913 |
